epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
54,174.593,0.66249,0.45585,0.83374,0.97555,1,0.995,0.88838,0.55223,0.37232,0.82192,0.00894213,0.00894213,0.00894213
55,177.647,0.70156,0.46589,0.86415,0.97635,1,0.99412,0.90788,0.56224,0.37169,0.82937,0.00890339,0.00890339,0.00890339
56,180.759,0.70696,0.43166,0.85582,0.96923,1,0.98951,0.87238,0.58418,0.38412,0.82404,0.00886404,0.00886404,0.00886404
57,183.905,0.66737,0.43503,0.83384,0.9674,1,0.98588,0.89377,0.52102,0.38107,0.82418,0.00882409,0.00882409,0.00882409
58,186.986,0.64518,0.43196,0.85691,0.97117,0.97179,0.98576,0.88367,0.54293,0.38847,0.82097,0.00878354,0.00878354,0.00878354
59,189.979,0.62582,0.4212,0.83606,0.96812,0.99893,0.99044,0.90138,0.48961,0.37607,0.81274,0.00874241,0.00874241,0.00874241
60,192.877,0.57245,0.46486,0.7828,0.97024,1,0.98765,0.91245,0.50266,0.35972,0.81259,0.00870069,0.00870069,0.00870069
61,196.031,0.57136,0.41215,0.82644,0.97668,0.99833,0.99235,0.9076,0.53193,0.37551,0.81884,0.00865839,0.00865839,0.00865839
62,199.238,0.62221,0.42734,0.85776,0.97313,0.99545,0.99231,0.89899,0.53652,0.37022,0.81777,0.00861553,0.00861553,0.00861553
63,202.682,0.56844,0.40687,0.77265,0.97136,0.97983,0.9877,0.91076,0.48548,0.37836,0.80925,0.0085721,0.0085721,0.0085721
64,206.237,0.5784,0.43148,0.84728,0.97134,0.99545,0.99027,0.88962,0.55267,0.38173,0.81339,0.00852812,0.00852812,0.00852812
65,209.504,0.62454,0.42703,0.85301,0.96763,0.99301,0.9904,0.9077,0.48982,0.34686,0.80203,0.00848358,0.00848358,0.00848358
66,212.652,0.66331,0.50136,0.88116,0.97599,0.99545,0.99035,0.92172,0.46117,0.33214,0.79608,0.00843851,0.00843851,0.00843851
67,215.931,0.61186,0.4098,0.8347,0.97559,0.99545,0.99082,0.9022,0.54876,0.37331,0.80433,0.0083929,0.0083929,0.0083929
68,219.224,0.62186,0.42059,0.84742,0.97779,0.99545,0.99035,0.8924,0.47575,0.34668,0.8007,0.00834676,0.00834676,0.00834676
69,222.363,0.59678,0.4204,0.84832,0.98004,0.99545,0.99315,0.91028,0.51611,0.36659,0.79979,0.0083001,0.0083001,0.0083001
70,225.484,0.56969,0.39213,0.83331,0.97664,0.99545,0.99222,0.89553,0.4704,0.3483,0.79751,0.00825293,0.00825293,0.00825293
71,228.307,0.60505,0.41782,0.83884,0.97324,0.99272,0.99027,0.92895,0.46534,0.35159,0.79885,0.00820525,0.00820525,0.00820525
72,231.285,0.57311,0.39228,0.82642,0.97037,0.95877,0.98943,0.90613,0.44565,0.35099,0.7999,0.00815707,0.00815707,0.00815707
73,234.255,0.5868,0.38694,0.84051,0.94109,0.97963,0.98737,0.89267,0.53336,0.38517,0.806,0.00810841,0.00810841,0.00810841
74,237.493,0.55672,0.4174,0.84066,0.97569,0.96305,0.98943,0.91977,0.43821,0.34357,0.80008,0.00805925,0.00805925,0.00805925
75,240.689,0.57665,0.37547,0.84089,0.97533,0.97512,0.99104,0.88645,0.54654,0.38642,0.80957,0.00800963,0.00800963,0.00800963
76,243.92,0.56029,0.38623,0.84217,0.97739,0.96806,0.99156,0.93073,0.47429,0.36302,0.81091,0.00795954,0.00795954,0.00795954
77,247.127,0.56207,0.41473,0.8495,0.9754,0.99309,0.99132,0.90998,0.50573,0.33201,0.80867,0.00790898,0.00790898,0.00790898
78,250.415,0.58675,0.40176,0.83615,0.97771,0.98525,0.99132,0.92141,0.45424,0.33541,0.8163,0.00785798,0.00785798,0.00785798
79,253.602,0.54435,0.38006,0.85195,0.97075,0.99798,0.99132,0.88712,0.51441,0.3436,0.81452,0.00780653,0.00780653,0.00780653
80,256.357,0.54741,0.38303,0.83705,0.9732,0.95934,0.9881,0.91698,0.481,0.35829,0.81909,0.00775465,0.00775465,0.00775465
81,259.451,0.56909,0.39159,0.84761,0.92641,1,0.98513,0.90932,0.46596,0.35886,0.81336,0.00770234,0.00770234,0.00770234
82,262.235,0.5853,0.41913,0.81804,0.93396,0.99893,0.98513,0.92711,0.46507,0.34397,0.81343,0.00764961,0.00764961,0.00764961
83,265.533,0.59238,0.86451,0.86529,0.97516,0.99794,0.99132,0.91479,0.45804,0.32406,0.8121,0.00759648,0.00759648,0.00759648
84,268.543,0.59457,0.45579,0.85429,0.96558,0.97914,0.99076,0.9045,0.48739,0.35171,0.81863,0.00754293,0.00754293,0.00754293
85,271.523,0.53742,0.37484,0.82229,0.95709,1,0.99231,0.91746,0.4662,0.34914,0.80556,0.007489,0.007489,0.007489
86,274.894,0.51839,0.38422,0.82911,0.98044,0.94858,0.98777,0.88665,0.4956,0.38721,0.81523,0.00743468,0.00743468,0.00743468
87,278.121,0.54757,0.3948,0.82394,0.9473,0.96094,0.98902,0.90169,0.49253,0.38387,0.81516,0.00737998,0.00737998,0.00737998
88,281.508,0.56325,0.44089,0.89164,0.97548,0.96099,0.98835,0.92265,0.44559,0.35712,0.81099,0.00732492,0.00732492,0.00732492
89,284.778,0.50111,0.37793,0.81748,0.96167,0.99108,0.99124,0.92969,0.44078,0.3492,0.80716,0.0072695,0.0072695,0.0072695
90,287.951,0.50097,0.36737,0.82434,0.95684,1,0.99324,0.94533,0.40245,0.29514,0.80205,0.00721372,0.00721372,0.00721372
91,291.363,0.50943,0.3649,0.8321,0.9511,1,0.99132,0.92304,0.4532,0.31673,0.8049,0.00715761,0.00715761,0.00715761
92,294.98,0.64377,0.39222,0.86657,0.9324,0.99147,0.98669,0.92825,0.43613,0.32221,0.80333,0.00710116,0.00710116,0.00710116
93,298.038,0.50719,0.35012,0.83257,0.92429,0.99101,0.98404,0.92623,0.41557,0.34862,0.79844,0.00704439,0.00704439,0.00704439
94,301.156,0.53426,0.35687,0.83375,0.96764,0.96033,0.98563,0.92092,0.43017,0.38216,0.80055,0.0069873,0.0069873,0.0069873
95,304.578,0.51935,0.34045,0.82681,0.96887,0.98412,0.98991,0.92786,0.43174,0.34841,0.80213,0.00692991,0.00692991,0.00692991
96,307.551,0.56002,0.39942,0.86753,0.97819,0.97983,0.98934,0.93908,0.42038,0.33079,0.80138,0.00687222,0.00687222,0.00687222
97,310.542,0.51774,0.35314,0.81357,0.97622,0.98358,0.9924,0.9479,0.4255,0.31643,0.79627,0.00681424,0.00681424,0.00681424
98,313.642,0.48016,0.34848,0.83482,0.95475,0.99238,0.98871,0.94595,0.39817,0.31721,0.79514,0.00675598,0.00675598,0.00675598
99,316.669,0.49644,0.35128,0.80908,0.9586,0.99545,0.98946,0.92385,0.41411,0.3177,0.79395,0.00669746,0.00669746,0.00669746
